"","Price","Fuel","Engine","Horsepower","Power_Nm","Acceleration","Consumption","CO2","Autonomy_klm","Taxation","Air_condition","Clima","Back_electric_windows","Heated_mirrors"
"344",12450," Mild-Hybird",999,70,92,13.9,4,90,950,0,"YES","NO","YES","YES"
"345",14350," Mild-Hybird",999,70,92,13.9,4,90,950,0,"YES","NO","YES","YES"
"346",9990," Gasoline",1242,69,102,14.2,5.2,120,712,118,"YES","NO","NO","NO"
"348",12950," Gasoline",1242,69,102,14.2,5.2,120,712,118,"NO","YES","YES","YES"
"350",15900," Diesel",1248,95,200,11.7,3.7,98,1216,88,"NO","YES","YES","YES"
"352",14900," Gasoline",1368,95,127,11.5,5.7,133,789,160,"NO","YES","YES","YES"
"353",17200," Diesel",1598,120,320,9.7,4.2,110,1071,108,"NO","YES","YES","YES"
"354",16000," Diesel",1248,95,200,12,3.7,99,1351,89,"YES","NO","YES","YES"
"355",16500," Diesel",1248,95,200,12,3.7,99,1351,89,"NO","YES","YES","YES"
"356",17000," Diesel",1248,95,200,12,3.7,99,1351,89,"NO","YES","YES","YES"
"362",17407," Gasoline",998,125,170,12.7,5.2,119,1000,117,"NO","YES","YES","YES"
"365",20856," Gasoline",998,125,170,12.7,5.2,119,1000,117,"NO","YES","YES","YES"
"366",21259," Gasoline",998,125,170,12.7,5.2,119,1000,117,"NO","YES","YES","YES"
"367",21509," Gasoline",998,140,180,11.8,5.2,119,1000,117,"NO","YES","YES","YES"
"368",21912," Gasoline",998,140,180,11.8,5.2,119,1000,117,"NO","YES","YES","YES"
"376",14866," Gasoline",998,100,170,10.5,4.3,97,977,87,"YES","NO","YES","YES"
"377",15944," Gasoline",998,100,170,10.5,4.3,97,977,87,"NO","YES","YES","YES"
"378",17000," Gasoline",998,125,170,9.9,4.3,98,977,88,"NO","YES","YES","YES"
"379",17322," Gasoline",998,125,170,9.9,4.3,98,977,88,"YES","NO","YES","YES"
"380",18557," Gasoline",998,140,180,9,4.5,102,933,100,"YES","NO","YES","YES"
"381",18704," Gasoline",998,100,170,10.5,4.3,97,977,87,"NO","YES","YES","YES"
"382",20143," Gasoline",998,140,180,9,4.5,102,933,100,"NO","YES","YES","YES"
"383",13536," Gasoline",1084,85,110,14.9,4.4,101,955,99,"YES","NO","NO","YES"
"384",14424," Gasoline",1084,85,110,14.9,4.4,101,955,99,"YES","NO","YES","YES"
"385",15184," Diesel",1499,85,215,12.5,3.1,84,1355,0,"YES","NO","YES","YES"
"386",16058," Diesel",1499,85,215,12.5,3.1,84,1355,0,"YES","NO","YES","YES"
